| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
+------------+--------------+------------+-----------------+------------------+--------------+---------------+
|          1 |            1 |          8 |               9 |                8 |            0 |             0 |
|          2 |            2 |          8 |              58 |               56 |           48 |            48 |
|          3 |            3 |          8 |              74 |               71 |           63 |            63 |
|          4 |            3 |          4 |              78 |               75 |           71 |            71 |
|          5 |            5 |          2 |             149 |              144 |          142 |           142 |
|          6 |            3 |          5 |              83 |               80 |           75 |            75 |
|          7 |            7 |          8 |             235 |              228 |          220 |           220 |
|          8 |            4 |          5 |             111 |              107 |          102 |           102 |
|          9 |            7 |          1 |             236 |              229 |          228 |           228 |
|         10 |            3 |          2 |              85 |               82 |           80 |            80 |
|         11 |           11 |          9 |             334 |              323 |          314 |           314 |
|         12 |            4 |          7 |             118 |              114 |          107 |           107 |
|         13 |            4 |          9 |             127 |              123 |          114 |           114 |
|         14 |           13 |          5 |             392 |              379 |          374 |           374 |
|         15 |            8 |          2 |             241 |              233 |          231 |           231 |
|         16 |           10 |          1 |             288 |              278 |          277 |           277 |
|         17 |           11 |          4 |             338 |              327 |          323 |           323 |
|         18 |            6 |          4 |             206 |              200 |          196 |           196 |
|         19 |           15 |          8 |             431 |              416 |          408 |           408 |
|         20 |           12 |          8 |             379 |              367 |          359 |           359 |
|         21 |           16 |          1 |             480 |              464 |          463 |           463 |
|         22 |           16 |          3 |             483 |              467 |          464 |           464 |
|         23 |            6 |          5 |             211 |              205 |          200 |           200 |
|         24 |           15 |          3 |             434 |              419 |          416 |           416 |
|         25 |           16 |          4 |             487 |              471 |          467 |           467 |
|         26 |            2 |          2 |              60 |               58 |           56 |            56 |
|         27 |           11 |          9 |             347 |              336 |          327 |           327 |
|         28 |            9 |          1 |             283 |              274 |          273 |           273 |
|         29 |           23 |          6 |             721 |              698 |          692 |           692 |
|         30 |           17 |          5 |             515 |              498 |          493 |           493 |
|         31 |           31 |          1 |             970 |              939 |          938 |           938 |
|         32 |           29 |          7 |             894 |              865 |          858 |           858 |
|         33 |           18 |          9 |             530 |              512 |          503 |           503 |
|         34 |           11 |          4 |             351 |              340 |          336 |           336 |
|         35 |            4 |          3 |             130 |              126 |          123 |           123 |
|         36 |            1 |          1 |              10 |                9 |            8 |             8 |
|         37 |           10 |          1 |             289 |              279 |          278 |           278 |
|         38 |           15 |          7 |             441 |              426 |          419 |           419 |
|         40 |            4 |          6 |             136 |              132 |          126 |           126 |
|         41 |            5 |          7 |             156 |              151 |          144 |           144 |
