| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
+------------+--------------+------------+-----------------+------------------+--------------+---------------+
|          1 |            1 |          8 |             360 |              359 |          351 |             0 |
|          4 |            3 |          4 |             610 |              607 |          603 |            31 |
|          5 |            5 |          2 |              81 |               76 |           74 |            74 |
|          6 |            3 |          5 |             658 |              655 |          650 |            34 |
|          8 |            4 |          5 |             949 |              945 |          940 |            51 |
|          9 |            7 |          1 |             128 |              121 |          120 |           120 |
|         10 |            3 |          2 |              42 |               39 |           37 |            37 |
|         15 |            8 |          2 |             133 |              125 |          123 |           123 |
|         16 |           10 |          1 |             165 |              155 |          154 |           154 |
|         21 |           16 |          1 |             271 |              255 |          254 |           254 |
|         22 |           16 |          3 |             274 |              258 |          255 |           255 |
|         24 |           15 |          3 |             250 |              235 |          232 |           232 |
|         26 |            2 |          2 |              28 |               26 |           24 |            24 |
|         28 |            9 |          1 |             161 |              152 |          151 |           151 |
|         31 |           31 |          1 |             547 |              516 |          515 |           515 |
|         35 |            4 |          3 |              67 |               63 |           60 |            60 |
|         36 |            1 |          1 |               5 |                4 |            3 |             3 |
|         37 |           10 |          1 |             166 |              156 |          155 |           155 |
|         44 |           36 |          3 |             623 |              587 |          584 |           584 |
|         45 |           45 |          2 |             774 |              729 |          727 |           727 |
|         47 |           40 |          1 |             702 |              662 |          661 |           661 |
|         48 |           44 |          2 |             764 |              720 |          718 |           718 |
|         49 |           40 |          1 |             703 |              663 |          662 |           662 |
|         50 |           45 |          3 |             777 |              732 |          729 |           729 |
|         51 |           10 |          2 |             168 |              158 |          156 |           156 |
|         52 |           43 |          2 |             741 |              698 |          696 |           696 |
|         54 |           24 |          3 |             415 |              391 |          388 |           388 |
|         55 |            8 |          1 |             134 |              126 |          125 |           125 |
|         56 |           21 |          3 |             366 |              345 |          342 |           342 |
|         57 |           53 |          3 |             891 |              838 |          835 |           835 |
|         58 |           11 |          2 |             200 |              189 |          187 |           187 |
|         63 |           25 |          3 |             434 |              409 |          406 |           406 |
|         64 |           50 |          3 |             851 |              801 |          798 |           798 |
|         69 |           26 |          3 |             461 |              435 |          432 |           432 |
|         70 |           40 |          3 |             706 |              666 |          663 |           663 |
|         74 |           59 |          1 |             973 |              914 |          913 |           913 |
|         75 |           59 |          3 |             976 |              917 |          914 |           914 |
|         77 |           19 |          3 |             331 |              312 |          309 |           309 |
|         78 |           21 |          2 |             374 |              353 |          351 |           351 |
|         80 |           42 |          3 |             722 |              680 |          677 |           677 |
|         88 |           40 |          1 |             707 |              667 |          666 |           666 |
|         91 |           52 |          3 |             879 |              827 |          824 |           824 |
|         96 |           30 |          2 |             531 |              501 |          499 |           499 |
|        100 |           29 |          1 |             505 |              476 |          475 |           475 |
|        101 |           39 |          2 |             681 |              642 |          640 |           640 |
|        103 |           39 |          3 |             684 |              645 |          642 |           642 |
|        106 |           59 |          1 |             977 |              918 |          917 |           917 |
|        107 |           30 |          1 |             532 |              502 |          501 |           501 |
