| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
+------------+--------------+------------+-----------------+------------------+--------------+---------------+
|          5 |            5 |          2 |               7 |                2 |            0 |             0 |
|          9 |            7 |          1 |               9 |                2 |            1 |             1 |
|         10 |            3 |          2 |             296 |              293 |          291 |           291 |
|         15 |            8 |          2 |             303 |              295 |          293 |           293 |
|         16 |           10 |          1 |              11 |                1 |            0 |             0 |
|         21 |           16 |          1 |              17 |                1 |            0 |             0 |
|         26 |            2 |          2 |             310 |              308 |          306 |           306 |
|         28 |            9 |          1 |              13 |                4 |            3 |             3 |
|         31 |           31 |          1 |              33 |                2 |            1 |             1 |
|         36 |            1 |          1 |               2 |                1 |            0 |             0 |
|         37 |           10 |          1 |              15 |                5 |            4 |             4 |
|         45 |           45 |          2 |             345 |              300 |          298 |           298 |
|         47 |           40 |          1 |              41 |                1 |            0 |             0 |
|         48 |           44 |          2 |             360 |              316 |          314 |           314 |
|         49 |           40 |          1 |              43 |                3 |            2 |             2 |
|         51 |           10 |          2 |             365 |              355 |          353 |           353 |
|         52 |           43 |          2 |             368 |              325 |          323 |           323 |
|         55 |            8 |          1 |              19 |               11 |           10 |            10 |
|         58 |           11 |          2 |             387 |              376 |          374 |           374 |
|         74 |           59 |          1 |              61 |                2 |            1 |             1 |
|         78 |           21 |          2 |             394 |              373 |          371 |           371 |
|         88 |           40 |          1 |              45 |                5 |            4 |             4 |
|         92 |           62 |          2 |             397 |              335 |          333 |           333 |
|         96 |           30 |          2 |             400 |              370 |          368 |           368 |
|        100 |           29 |          1 |              31 |                2 |            1 |             1 |
|        101 |           39 |          2 |             403 |              364 |          362 |           362 |
|        106 |           59 |          1 |              63 |                4 |            3 |             3 |
|        107 |           30 |          1 |              35 |                5 |            4 |             4 |
|        108 |          102 |          1 |             103 |                1 |            0 |             0 |
|        125 |           62 |          2 |             428 |              366 |          364 |           364 |
|        132 |          117 |          2 |             435 |              318 |          316 |           316 |
|        138 |           28 |          2 |             438 |              410 |          408 |           408 |
|        141 |           16 |          2 |             449 |              433 |          431 |           431 |
|        147 |            8 |          1 |              21 |               13 |           12 |            12 |
|        157 |          120 |          2 |             456 |              336 |          334 |           334 |
|        175 |          118 |          1 |             119 |                1 |            0 |             0 |
|        177 |           83 |          1 |              85 |                2 |            1 |             1 |
|        184 |           44 |          2 |             459 |              415 |          413 |           413 |
|        185 |          158 |          2 |             462 |              304 |          302 |           302 |
|        186 |          129 |          2 |             465 |              336 |          334 |           334 |
|        189 |           43 |          2 |             480 |              437 |          435 |           435 |
|        194 |           61 |          2 |             505 |              444 |          442 |           442 |
|        203 |           78 |          1 |              79 |                1 |            0 |             0 |
|        206 |          130 |          2 |             508 |              378 |          376 |           376 |
|        213 |          213 |          2 |             511 |              298 |          296 |           296 |
|        217 |          174 |          1 |             175 |                1 |            0 |             0 |
|        220 |          118 |          1 |             121 |                3 |            2 |             2 |
|        224 |          157 |          2 |             516 |              359 |          357 |           357 |
|        227 |           96 |          1 |              97 |                1 |            0 |             0 |
|        228 |           56 |          2 |             519 |              463 |          461 |           461 |
|        232 |          192 |          1 |             193 |                1 |            0 |             0 |
|        236 |          172 |          1 |             173 |                1 |            0 |             0 |
|        239 |          238 |          2 |             524 |              286 |          284 |           284 |
|        241 |          101 |          2 |             529 |              428 |          426 |           426 |
|        247 |          185 |          2 |             536 |              351 |          349 |           349 |
|        251 |          193 |          1 |             195 |                2 |            1 |             1 |
|        252 |          121 |          1 |             123 |                2 |            1 |             1 |
|        264 |           31 |          1 |              37 |                6 |            5 |             5 |
|        266 |          195 |          2 |             539 |              344 |          342 |           342 |
|        267 |          163 |          2 |             544 |              381 |          379 |           379 |
|        268 |          164 |          2 |             557 |              393 |          391 |           391 |
|        270 |          102 |          2 |             562 |              460 |          458 |           458 |
|        271 |           45 |          2 |             565 |              520 |          518 |           518 |
|        272 |           33 |          2 |             574 |              541 |          539 |           539 |
|        281 |          125 |          2 |             579 |              454 |          452 |           452 |
|        283 |          226 |          1 |             227 |                1 |            0 |             0 |
|        287 |          229 |          1 |             231 |                2 |            1 |             1 |
|        292 |          148 |          1 |             149 |                1 |            0 |             0 |
|        295 |           21 |          2 |             640 |              619 |          617 |           617 |
|        299 |          197 |          2 |             643 |              446 |          444 |           444 |
|        300 |           94 |          1 |              95 |                1 |            0 |             0 |
|        304 |          159 |          2 |             662 |              503 |          501 |           501 |
|        306 |           70 |          2 |             665 |              595 |          593 |           593 |
|        313 |          126 |          2 |             672 |              546 |          544 |           544 |
|        319 |          170 |          1 |             171 |                1 |            0 |             0 |
|        322 |           19 |          1 |              23 |                4 |            3 |             3 |
|        323 |          134 |          1 |             135 |                1 |            0 |             0 |
|        325 |          153 |          2 |             675 |              522 |          520 |           520 |
|        338 |           22 |          1 |              25 |                3 |            2 |             2 |
|        339 |          266 |          2 |             680 |              414 |          412 |           412 |
|        342 |          129 |          2 |             685 |              556 |          554 |           554 |
|        355 |          183 |          1 |             185 |                2 |            1 |             1 |
|        359 |           67 |          1 |              69 |                2 |            1 |             1 |
|        360 |           98 |          1 |              99 |                1 |            0 |             0 |
|        375 |           97 |          1 |             101 |                4 |            3 |             3 |
|        378 |          289 |          1 |             291 |                2 |            1 |             1 |
|        380 |          253 |          2 |             688 |              435 |          433 |           433 |
|        381 |          152 |          1 |             153 |                1 |            0 |             0 |
|        384 |          235 |          2 |             691 |              456 |          454 |           454 |
|        386 |          265 |          2 |             698 |              433 |          431 |           431 |
|        390 |          320 |          1 |             322 |                2 |            1 |             1 |
|        393 |          376 |          2 |             701 |              325 |          323 |           323 |
|        394 |          245 |          1 |             247 |                2 |            1 |             1 |
|        404 |           42 |          1 |              47 |                5 |            4 |             4 |
|        407 |          165 |          2 |             714 |              549 |          547 |           547 |
|        413 |          120 |          2 |             725 |              605 |          603 |           603 |
|        422 |          100 |          1 |             105 |                5 |            4 |             4 |
|        442 |          120 |          2 |             734 |              614 |          612 |           612 |
|        444 |          263 |          2 |             741 |              478 |          476 |           476 |
|        454 |          349 |          1 |             351 |                2 |            1 |             1 |
|        460 |          173 |          1 |             177 |                4 |            3 |             3 |
|        461 |          283 |          2 |             748 |              465 |          463 |           463 |
|        462 |           30 |          1 |              39 |                9 |            8 |             8 |
|        463 |          240 |          1 |             241 |                1 |            0 |             0 |
|        466 |          449 |          1 |             451 |                2 |            1 |             1 |
|        467 |           81 |          2 |             751 |              670 |          668 |           668 |
|        469 |          284 |          2 |             754 |              470 |          468 |           468 |
|        474 |          352 |          1 |             353 |                1 |            0 |             0 |
|        476 |           44 |          1 |              49 |                5 |            4 |             4 |
|        479 |           72 |          2 |             769 |              697 |          695 |           695 |
|        482 |          370 |          2 |             778 |              408 |          406 |           406 |
|        487 |          239 |          2 |             781 |              542 |          540 |           540 |
|        489 |          198 |          1 |             199 |                1 |            0 |             0 |
|        494 |          145 |          1 |             147 |                2 |            1 |             1 |
|        499 |            8 |          2 |             784 |              776 |          774 |           774 |
|        504 |          162 |          1 |             163 |                1 |            0 |             0 |
|        508 |          181 |          2 |             789 |              608 |          606 |           606 |
|        512 |          104 |          1 |             107 |                3 |            2 |             2 |
|        513 |          403 |          1 |             405 |                2 |            1 |             1 |
|        514 |          475 |          2 |             792 |              317 |          315 |           315 |
|        521 |          382 |          1 |             384 |                2 |            1 |             1 |
|        533 |          327 |          2 |             795 |              468 |          466 |           466 |
|        535 |          370 |          1 |             372 |                2 |            1 |             1 |
|        540 |          290 |          2 |             798 |              508 |          506 |           506 |
|        545 |          370 |          1 |             374 |                4 |            3 |             3 |
|        546 |           17 |          1 |              27 |               10 |            9 |             9 |
|        558 |          182 |          2 |             805 |              623 |          621 |           621 |
|        560 |           36 |          2 |             808 |              772 |          770 |           770 |
|        565 |           97 |          1 |             109 |               12 |           11 |            11 |
|        568 |          345 |          2 |             821 |              476 |          474 |           474 |
|        578 |          370 |          2 |             838 |              468 |          466 |           466 |
|        585 |          226 |          1 |             229 |                3 |            2 |             2 |
|        586 |          532 |          1 |             533 |                1 |            0 |             0 |
|        590 |          453 |          2 |             843 |              390 |          388 |           388 |
